# Time (ps)	MSD (nm^2)
1.000000	0.000000
2.000000	0.005744
3.000000	0.008925
4.000000	0.010818
5.000000	0.012065
6.000000	0.013429
7.000000	0.014296
8.000000	0.015901
9.000000	0.018497
10.000000	0.019332
11.000000	0.021578
12.000000	0.022021
13.000000	0.021509
14.000000	0.022584
15.000000	0.024949
16.000000	0.026052
17.000000	0.027050
18.000000	0.028431
19.000000	0.029562
20.000000	0.029856
21.000000	0.031810
22.000000	0.032817
23.000000	0.032251
24.000000	0.033389
25.000000	0.033497
26.000000	0.035268
27.000000	0.035681
28.000000	0.037123
29.000000	0.037363
30.000000	0.037976
31.000000	0.039484
32.000000	0.040434
33.000000	0.042188
34.000000	0.042793
35.000000	0.043440
36.000000	0.043879
37.000000	0.045426
38.000000	0.045388
39.000000	0.047323
40.000000	0.049225
41.000000	0.050262
42.000000	0.051771
43.000000	0.051653
44.000000	0.051471
45.000000	0.052633
46.000000	0.052764
47.000000	0.055109
48.000000	0.055105
49.000000	0.056872
50.000000	0.059255
51.000000	0.059666
52.000000	0.059376
53.000000	0.058667
54.000000	0.058807
55.000000	0.061369
56.000000	0.062480
57.000000	0.063674
58.000000	0.063801
59.000000	0.064076
60.000000	0.064839
61.000000	0.065859
62.000000	0.067817
63.000000	0.069936
64.000000	0.069976
65.000000	0.070099
66.000000	0.071834
67.000000	0.071466
68.000000	0.071058
69.000000	0.073918
70.000000	0.075335
71.000000	0.074532
72.000000	0.074332
73.000000	0.074749
74.000000	0.076548
75.000000	0.079014
76.000000	0.079256
77.000000	0.079954
78.000000	0.081616
79.000000	0.080455
80.000000	0.082090
81.000000	0.082392
82.000000	0.084106
83.000000	0.084938
84.000000	0.085762
85.000000	0.086066
86.000000	0.085436
87.000000	0.086153
88.000000	0.087562
89.000000	0.087799
90.000000	0.088879
91.000000	0.091278
92.000000	0.094319
93.000000	0.092135
94.000000	0.092220
95.000000	0.092356
96.000000	0.095255
97.000000	0.096862
98.000000	0.097297
99.000000	0.097338
100.000000	0.098038
101.000000	0.098587
102.000000	0.099098
103.000000	0.099668
104.000000	0.102142
105.000000	0.100535
106.000000	0.101376
107.000000	0.101535
108.000000	0.102175
109.000000	0.103924
110.000000	0.106373
111.000000	0.107411
112.000000	0.107611
113.000000	0.109876
114.000000	0.112229
115.000000	0.113387
116.000000	0.113520
117.000000	0.114279
118.000000	0.116219
119.000000	0.113852
120.000000	0.115361
121.000000	0.116656
122.000000	0.119136
123.000000	0.119759
124.000000	0.117931
125.000000	0.116546
126.000000	0.116468
127.000000	0.117256
