# Time (ps)	MSD (nm^2)
1.000000	0.000000
2.000000	0.005355
3.000000	0.007958
4.000000	0.009149
5.000000	0.010080
6.000000	0.011668
7.000000	0.013158
8.000000	0.015247
9.000000	0.016074
10.000000	0.015982
11.000000	0.016962
12.000000	0.017020
13.000000	0.018358
14.000000	0.019591
15.000000	0.021310
16.000000	0.021697
17.000000	0.022502
18.000000	0.023006
19.000000	0.022903
20.000000	0.023588
21.000000	0.024894
22.000000	0.026036
23.000000	0.026835
24.000000	0.027495
25.000000	0.027165
26.000000	0.027024
27.000000	0.028112
28.000000	0.030242
29.000000	0.031791
30.000000	0.032469
31.000000	0.034124
32.000000	0.033429
33.000000	0.033953
34.000000	0.034010
35.000000	0.034884
36.000000	0.035631
37.000000	0.037179
38.000000	0.037630
39.000000	0.039932
40.000000	0.040023
41.000000	0.040625
42.000000	0.042769
43.000000	0.042242
44.000000	0.043414
45.000000	0.041815
46.000000	0.042873
47.000000	0.043684
48.000000	0.044262
49.000000	0.045958
50.000000	0.045780
51.000000	0.046946
52.000000	0.047724
53.000000	0.049224
54.000000	0.049970
55.000000	0.049291
56.000000	0.049411
57.000000	0.049046
58.000000	0.051357
59.000000	0.052228
60.000000	0.051858
61.000000	0.051725
62.000000	0.053578
63.000000	0.053487
64.000000	0.054651
65.000000	0.055166
66.000000	0.055235
67.000000	0.055491
68.000000	0.055320
69.000000	0.056612
70.000000	0.058283
71.000000	0.059010
72.000000	0.058682
73.000000	0.057419
74.000000	0.058026
75.000000	0.059174
76.000000	0.061190
77.000000	0.061582
78.000000	0.060603
79.000000	0.060370
80.000000	0.061831
81.000000	0.063572
82.000000	0.063773
83.000000	0.066280
84.000000	0.066110
85.000000	0.066822
86.000000	0.067007
87.000000	0.068176
88.000000	0.066019
89.000000	0.066522
90.000000	0.067961
91.000000	0.069163
92.000000	0.069505
93.000000	0.070290
94.000000	0.072358
95.000000	0.072470
96.000000	0.074220
97.000000	0.075369
98.000000	0.074155
99.000000	0.074095
100.000000	0.075185
101.000000	0.075431
102.000000	0.077278
103.000000	0.077209
104.000000	0.076010
105.000000	0.079147
106.000000	0.079120
107.000000	0.080322
108.000000	0.080291
109.000000	0.080453
110.000000	0.079511
111.000000	0.079946
112.000000	0.079961
113.000000	0.080413
114.000000	0.081517
115.000000	0.081077
116.000000	0.082466
117.000000	0.084737
118.000000	0.084230
119.000000	0.085211
120.000000	0.087438
121.000000	0.086214
122.000000	0.087061
123.000000	0.090207
124.000000	0.089827
125.000000	0.091099
126.000000	0.091030
127.000000	0.090473
128.000000	0.091853
129.000000	0.090731
130.000000	0.090030
131.000000	0.089721
132.000000	0.090786
133.000000	0.091599
134.000000	0.095342
135.000000	0.096692
136.000000	0.097826
137.000000	0.098918
138.000000	0.100320
139.000000	0.102099
140.000000	0.103551
141.000000	0.102027
142.000000	0.103246
143.000000	0.103729
144.000000	0.103726
145.000000	0.103365
146.000000	0.103241
147.000000	0.104506
148.000000	0.104727
149.000000	0.105748
150.000000	0.105497
151.000000	0.106732
152.000000	0.109189
153.000000	0.109932
154.000000	0.111432
155.000000	0.110872
156.000000	0.111113
157.000000	0.110497
158.000000	0.110792
159.000000	0.112974
160.000000	0.114098
161.000000	0.113659
162.000000	0.116903
163.000000	0.116512
164.000000	0.115908
165.000000	0.118623
166.000000	0.115332
167.000000	0.115339
168.000000	0.116471
169.000000	0.119237
170.000000	0.119240
171.000000	0.120228
172.000000	0.122181
173.000000	0.123613
174.000000	0.123115
175.000000	0.124826
176.000000	0.122504
177.000000	0.123955
178.000000	0.124076
179.000000	0.125751
180.000000	0.126714
181.000000	0.124610
182.000000	0.124493
183.000000	0.126090
184.000000	0.127253
185.000000	0.126393
186.000000	0.124938
187.000000	0.127427
188.000000	0.129045
189.000000	0.128612
190.000000	0.129251
191.000000	0.131464
192.000000	0.131312
193.000000	0.133447
194.000000	0.133029
195.000000	0.134428
196.000000	0.134550
197.000000	0.135266
198.000000	0.133987
199.000000	0.136845
200.000000	0.137891
201.000000	0.139882
202.000000	0.136284
203.000000	0.137023
204.000000	0.137682
205.000000	0.138852
206.000000	0.139818
207.000000	0.139456
208.000000	0.140658
209.000000	0.141776
210.000000	0.145478
211.000000	0.146995
212.000000	0.150285
213.000000	0.150394
214.000000	0.149657
215.000000	0.147814
216.000000	0.150869
217.000000	0.152594
218.000000	0.153318
219.000000	0.153255
220.000000	0.153738
221.000000	0.154899
222.000000	0.158857
223.000000	0.159639
224.000000	0.160246
225.000000	0.161658
226.000000	0.161296
227.000000	0.160498
228.000000	0.161706
229.000000	0.163529
230.000000	0.162739
231.000000	0.165841
232.000000	0.166543
233.000000	0.169866
234.000000	0.170755
235.000000	0.170052
236.000000	0.171659
237.000000	0.168508
238.000000	0.167087
239.000000	0.168016
240.000000	0.171647
241.000000	0.172652
242.000000	0.174992
243.000000	0.177255
244.000000	0.179516
245.000000	0.178914
246.000000	0.181763
247.000000	0.179213
248.000000	0.178277
249.000000	0.181305
250.000000	0.182314
251.000000	0.187141
252.000000	0.187587
253.000000	0.188233
254.000000	0.187258
255.000000	0.189402
256.000000	0.189122
257.000000	0.189562
258.000000	0.192541
259.000000	0.193618
260.000000	0.191804
261.000000	0.191654
262.000000	0.194009
263.000000	0.196030
264.000000	0.197369
265.000000	0.196993
266.000000	0.198236
267.000000	0.199478
268.000000	0.198201
269.000000	0.198756
270.000000	0.197133
271.000000	0.200038
272.000000	0.204020
273.000000	0.204187
274.000000	0.204003
275.000000	0.204384
276.000000	0.206260
277.000000	0.207465
278.000000	0.213180
279.000000	0.212765
280.000000	0.212714
281.000000	0.212693
282.000000	0.211348
283.000000	0.208276
284.000000	0.209633
285.000000	0.212011
286.000000	0.215454
287.000000	0.216215
288.000000	0.218016
289.000000	0.220278
290.000000	0.221805
291.000000	0.223583
292.000000	0.222691
293.000000	0.223840
294.000000	0.223947
295.000000	0.225229
296.000000	0.225960
297.000000	0.225806
298.000000	0.223172
299.000000	0.224324
300.000000	0.225304
301.000000	0.225294
302.000000	0.221854
303.000000	0.220968
304.000000	0.223034
305.000000	0.227022
306.000000	0.227878
307.000000	0.227986
308.000000	0.230422
309.000000	0.231550
310.000000	0.232458
311.000000	0.235050
312.000000	0.233893
313.000000	0.235064
314.000000	0.236780
315.000000	0.236899
316.000000	0.239426
317.000000	0.239918
318.000000	0.240190
319.000000	0.243924
320.000000	0.244637
321.000000	0.245989
322.000000	0.246619
323.000000	0.248983
324.000000	0.248556
325.000000	0.247949
326.000000	0.248660
327.000000	0.245069
328.000000	0.246632
329.000000	0.248778
330.000000	0.249316
331.000000	0.248584
332.000000	0.250353
333.000000	0.251859
334.000000	0.251335
335.000000	0.253926
336.000000	0.254166
337.000000	0.254379
338.000000	0.256809
339.000000	0.256192
340.000000	0.255256
341.000000	0.254392
342.000000	0.254782
343.000000	0.259649
344.000000	0.260412
345.000000	0.258278
346.000000	0.258682
347.000000	0.256980
348.000000	0.261257
349.000000	0.262304
350.000000	0.262024
351.000000	0.265378
352.000000	0.265157
353.000000	0.261231
354.000000	0.260543
355.000000	0.267364
356.000000	0.273698
357.000000	0.272076
358.000000	0.274617
359.000000	0.274616
360.000000	0.275489
361.000000	0.278194
362.000000	0.278960
363.000000	0.279098
364.000000	0.277650
365.000000	0.278618
366.000000	0.279977
367.000000	0.278023
368.000000	0.278096
369.000000	0.279355
370.000000	0.281690
371.000000	0.282082
372.000000	0.283084
373.000000	0.286964
374.000000	0.286268
375.000000	0.286281
376.000000	0.288590
377.000000	0.290292
378.000000	0.293102
379.000000	0.290301
380.000000	0.291811
381.000000	0.293127
382.000000	0.292676
383.000000	0.291919
384.000000	0.295855
385.000000	0.297118
386.000000	0.295595
387.000000	0.298071
388.000000	0.298610
389.000000	0.301004
390.000000	0.297042
391.000000	0.297521
392.000000	0.299608
393.000000	0.301198
394.000000	0.302030
395.000000	0.304227
396.000000	0.305659
397.000000	0.305373
398.000000	0.311611
399.000000	0.310439
400.000000	0.314749
401.000000	0.313100
402.000000	0.312002
403.000000	0.312534
404.000000	0.315655
405.000000	0.317839
406.000000	0.320526
407.000000	0.316338
408.000000	0.315937
409.000000	0.319156
410.000000	0.320001
411.000000	0.323070
412.000000	0.322075
413.000000	0.321792
414.000000	0.321962
415.000000	0.323686
416.000000	0.325071
417.000000	0.320880
418.000000	0.321267
419.000000	0.322045
420.000000	0.322945
421.000000	0.322745
422.000000	0.327933
423.000000	0.327489
424.000000	0.334284
425.000000	0.334202
426.000000	0.334744
427.000000	0.334897
428.000000	0.340754
429.000000	0.340923
430.000000	0.340905
431.000000	0.338758
432.000000	0.336499
433.000000	0.340052
434.000000	0.338851
435.000000	0.344320
436.000000	0.344137
437.000000	0.343094
438.000000	0.340232
439.000000	0.343534
440.000000	0.342863
441.000000	0.347337
442.000000	0.347418
443.000000	0.343661
444.000000	0.348906
445.000000	0.346321
446.000000	0.348462
447.000000	0.347268
448.000000	0.349625
449.000000	0.348220
450.000000	0.351741
451.000000	0.353355
452.000000	0.353165
453.000000	0.357097
454.000000	0.358073
455.000000	0.357140
456.000000	0.360656
457.000000	0.361853
